label,model,group,train_seed,noise_aware,threat,level,pert_seed,acc
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,noise,0.0,0,99.995
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,noise,0.08,0,99.9625
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,noise,0.1,0,99.845
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,noise,0.12,0,99.33
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,noise,0.14,0,97.87
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,noise,0.16,0,94.9025
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,noise,0.2,0,86.31
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,occlusion,0,0,99.995
bottleneck_fc_b6_seed0,bottleneck_fc,bottleneck_fc_b6,0,False,occlusion,100,0,94.79
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,noise,0.0,0,99.99
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,noise,0.08,0,95.7775
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,noise,0.1,0,89.69
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,noise,0.12,0,82.4325
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,noise,0.14,0,72.5225
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,noise,0.16,0,62.455
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,noise,0.2,0,53.55
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,occlusion,0,0,99.99
bottleneck_fc_b6_seed1,bottleneck_fc,bottleneck_fc_b6,1,False,occlusion,100,0,97.685
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,noise,0.0,0,99.99
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,noise,0.08,0,96.2675
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,noise,0.1,0,80.445
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,noise,0.12,0,59.0075
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,noise,0.14,0,50.66
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,noise,0.16,0,50.015
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,noise,0.2,0,50.0
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,occlusion,0,0,99.99
bottleneck_fc_b6_seed2,bottleneck_fc,bottleneck_fc_b6,2,False,occlusion,100,0,93.715
