model,noise_aware,threat,level,acc_mean,acc_std,n
bottleneck_fc_b6,False,noise,0.0,99.99166666666667,0.0023570226039597137,3
bottleneck_fc_b6,False,noise,0.08,97.33583333333333,1.8680753613159087,3
bottleneck_fc_b6,False,noise,0.1,89.99333333333334,7.922920687614023,3
bottleneck_fc_b6,False,noise,0.12,80.25666666666666,16.533333795362896,3
bottleneck_fc_b6,False,noise,0.14,73.68416666666666,19.290898148839236,3
bottleneck_fc_b6,False,noise,0.16,69.12416666666667,18.922301693739293,3
bottleneck_fc_b6,False,noise,0.2,63.28666666666667,16.344337109701193,3
bottleneck_fc_b6,False,occlusion,0,99.99166666666667,0.0023570226039597137,3
bottleneck_fc_b6,False,occlusion,100,95.39666666666669,1.6765556623294338,3
mlp_head_b6,False,noise,0.0,99.99083333333334,0.006561673228343825,3
mlp_head_b6,False,noise,0.08,98.495,1.8265450081141306,3
mlp_head_b6,False,noise,0.1,94.24916666666667,6.841167460472096,3
mlp_head_b6,False,noise,0.12,87.33833333333332,13.657190007058144,3
mlp_head_b6,False,noise,0.14,80.41833333333334,17.331870971966325,3
mlp_head_b6,False,noise,0.16,74.8,16.617746914067503,3
mlp_head_b6,False,noise,0.2,62.845000000000006,9.129365622356609,3
mlp_head_b6,False,occlusion,0,99.99083333333334,0.006561673228343825,3
mlp_head_b6,False,occlusion,100,93.23583333333333,1.038862224850929,3
qresnet_q6l2strong,False,noise,0.0,99.99416666666667,0.0011785113019765073,3
qresnet_q6l2strong,False,noise,0.08,88.08999999999999,13.953839226774347,3
qresnet_q6l2strong,False,noise,0.1,77.77583333333332,17.301019518770822,3
qresnet_q6l2strong,False,noise,0.12,73.95166666666667,19.222357895314392,3
qresnet_q6l2strong,False,noise,0.14,70.73916666666666,18.967713942966935,3
qresnet_q6l2strong,False,noise,0.16,65.53666666666668,18.974522648072657,3
qresnet_q6l2strong,False,noise,0.2,53.1475,13.718236493806337,3
qresnet_q6l2strong,False,occlusion,0,99.99416666666667,0.0011785113019765073,3
qresnet_q6l2strong,False,occlusion,100,91.73,0.48591408705655176,3
qresnet_q8l2strong,False,noise,0.0,99.99166666666667,0.0023570226039597137,3
qresnet_q8l2strong,False,noise,0.08,79.34500000000001,19.788250722756334,3
qresnet_q8l2strong,False,noise,0.1,73.70083333333334,17.56867588130142,3
qresnet_q8l2strong,False,noise,0.12,65.33416666666666,11.692190829305211,3
qresnet_q8l2strong,False,noise,0.14,60.7725,17.942423308089317,3
qresnet_q8l2strong,False,noise,0.16,49.599999999999994,3.6993518576456954,3
qresnet_q8l2strong,False,noise,0.2,50.15833333333333,1.6327537236895908,3
qresnet_q8l2strong,False,occlusion,0,99.99166666666667,0.0023570226039597137,3
qresnet_q8l2strong,False,occlusion,100,92.61916666666666,1.8729436872355674,3
