file,class,decoded,payload_len,payload_type
benign/benign/benign_0.png,benign,1,52,text
benign/benign/benign_1.png,benign,1,53,text
benign/benign/benign_10.png,benign,1,53,text
benign/benign/benign_100.png,benign,1,57,text
benign/benign/benign_1000.png,benign,1,82,text
benign/benign/benign_10000.png,benign,1,83,text
benign/benign/benign_10001.png,benign,1,83,text
benign/benign/benign_10002.png,benign,1,83,text
benign/benign/benign_10003.png,benign,1,83,text
benign/benign/benign_10004.png,benign,1,82,text
benign/benign/benign_10005.png,benign,1,83,text
benign/benign/benign_10006.png,benign,0,0,undecoded
benign/benign/benign_10007.png,benign,1,83,text
benign/benign/benign_10008.png,benign,0,0,undecoded
benign/benign/benign_10009.png,benign,1,83,text
benign/benign/benign_1001.png,benign,1,82,text
benign/benign/benign_10010.png,benign,1,83,text
benign/benign/benign_10011.png,benign,1,83,text
benign/benign/benign_10012.png,benign,1,79,text
benign/benign/benign_10013.png,benign,1,80,text
benign/benign/benign_10014.png,benign,1,83,text
benign/benign/benign_10015.png,benign,1,83,text
benign/benign/benign_10016.png,benign,1,83,text
benign/benign/benign_10017.png,benign,1,82,text
benign/benign/benign_10018.png,benign,1,83,text
benign/benign/benign_10019.png,benign,1,83,text
benign/benign/benign_1002.png,benign,1,80,text
benign/benign/benign_10020.png,benign,1,77,text
benign/benign/benign_10021.png,benign,1,80,text
benign/benign/benign_10022.png,benign,1,83,text
benign/benign/benign_10023.png,benign,1,83,text
benign/benign/benign_10024.png,benign,1,79,text
benign/benign/benign_10025.png,benign,1,83,text
benign/benign/benign_10026.png,benign,1,83,text
benign/benign/benign_10027.png,benign,1,75,text
benign/benign/benign_10028.png,benign,1,83,text
benign/benign/benign_10029.png,benign,1,81,text
benign/benign/benign_1003.png,benign,1,80,text
benign/benign/benign_10030.png,benign,1,81,text
benign/benign/benign_10031.png,benign,1,82,text
benign/benign/benign_10032.png,benign,1,83,text
benign/benign/benign_10033.png,benign,1,83,text
benign/benign/benign_10034.png,benign,1,82,text
benign/benign/benign_10035.png,benign,1,76,text
benign/benign/benign_10036.png,benign,1,77,text
benign/benign/benign_10037.png,benign,1,83,text
benign/benign/benign_10038.png,benign,1,79,text
benign/benign/benign_10039.png,benign,1,83,text
benign/benign/benign_1004.png,benign,1,80,text
benign/benign/benign_10040.png,benign,1,83,text
benign/benign/benign_10041.png,benign,1,83,text
benign/benign/benign_10042.png,benign,1,78,text
benign/benign/benign_10043.png,benign,1,83,text
benign/benign/benign_10044.png,benign,1,83,text
benign/benign/benign_10045.png,benign,1,83,text
benign/benign/benign_10046.png,benign,1,79,text
benign/benign/benign_10047.png,benign,1,83,text
benign/benign/benign_10048.png,benign,1,83,text
benign/benign/benign_10049.png,benign,1,83,text
benign/benign/benign_1005.png,benign,1,82,text
benign/benign/benign_10050.png,benign,1,83,text
benign/benign/benign_10051.png,benign,1,83,text
benign/benign/benign_10052.png,benign,1,83,text
