[log] 2026-06-11T23:28:32 writing console to experiments_revision/logs/train_qresnet_20260611_232832.log
--> [INFO] Found 200000 images. Classes: ['benign', 'malicious']
--> [INFO] Stratified split: train=140000 val=20000 test=40000
[qresnet_seed0] epoch 1/5 batch 1/2188 loss=0.7135 (45 img/s)
[qresnet_seed0] epoch 1/5 batch 26/2188 loss=0.6629 (531 img/s)
[qresnet_seed0] epoch 1/5 batch 51/2188 loss=0.6393 (674 img/s)
[qresnet_seed0] epoch 1/5 batch 76/2188 loss=0.6183 (744 img/s)
[qresnet_seed0] epoch 1/5 batch 101/2188 loss=0.6004 (784 img/s)
[qresnet_seed0] epoch 1/5 batch 126/2188 loss=0.5853 (809 img/s)
[qresnet_seed0] epoch 1/5 batch 151/2188 loss=0.5729 (825 img/s)
[qresnet_seed0] epoch 1/5 batch 176/2188 loss=0.5624 (840 img/s)
[qresnet_seed0] epoch 1/5 batch 201/2188 loss=0.5534 (850 img/s)
[qresnet_seed0] epoch 1/5 batch 226/2188 loss=0.5454 (858 img/s)
[qresnet_seed0] epoch 1/5 batch 251/2188 loss=0.5390 (869 img/s)
[qresnet_seed0] epoch 1/5 batch 276/2188 loss=0.5329 (866 img/s)
[qresnet_seed0] epoch 1/5 batch 301/2188 loss=0.5274 (866 img/s)
[qresnet_seed0] epoch 1/5 batch 326/2188 loss=0.5220 (871 img/s)
[qresnet_seed0] epoch 1/5 batch 351/2188 loss=0.5172 (875 img/s)
[qresnet_seed0] epoch 1/5 batch 376/2188 loss=0.5126 (879 img/s)
[qresnet_seed0] epoch 1/5 batch 401/2188 loss=0.5084 (881 img/s)
[qresnet_seed0] epoch 1/5 batch 426/2188 loss=0.5046 (880 img/s)
[qresnet_seed0] epoch 1/5 batch 451/2188 loss=0.5010 (883 img/s)
[qresnet_seed0] epoch 1/5 batch 476/2188 loss=0.4975 (883 img/s)
[qresnet_seed0] epoch 1/5 batch 501/2188 loss=0.4943 (882 img/s)
[qresnet_seed0] epoch 1/5 batch 526/2188 loss=0.4912 (883 img/s)
[qresnet_seed0] epoch 1/5 batch 551/2188 loss=0.4883 (883 img/s)
[qresnet_seed0] epoch 1/5 batch 576/2188 loss=0.4854 (883 img/s)
[qresnet_seed0] epoch 1/5 batch 601/2188 loss=0.4827 (883 img/s)
[qresnet_seed0] epoch 1/5 batch 626/2188 loss=0.4801 (884 img/s)
[qresnet_seed0] epoch 1/5 batch 651/2188 loss=0.4776 (884 img/s)
[qresnet_seed0] epoch 1/5 batch 676/2188 loss=0.4752 (886 img/s)
[qresnet_seed0] epoch 1/5 batch 701/2188 loss=0.4728 (888 img/s)
[qresnet_seed0] epoch 1/5 batch 726/2188 loss=0.4706 (889 img/s)
[qresnet_seed0] epoch 1/5 batch 751/2188 loss=0.4684 (891 img/s)
[qresnet_seed0] epoch 1/5 batch 776/2188 loss=0.4663 (892 img/s)
[qresnet_seed0] epoch 1/5 batch 801/2188 loss=0.4642 (893 img/s)
[qresnet_seed0] epoch 1/5 batch 826/2188 loss=0.4621 (894 img/s)
[qresnet_seed0] epoch 1/5 batch 851/2188 loss=0.4601 (895 img/s)
[qresnet_seed0] epoch 1/5 batch 876/2188 loss=0.4581 (896 img/s)
[qresnet_seed0] epoch 1/5 batch 901/2188 loss=0.4562 (896 img/s)
[qresnet_seed0] epoch 1/5 batch 926/2188 loss=0.4543 (897 img/s)
[qresnet_seed0] epoch 1/5 batch 951/2188 loss=0.4524 (899 img/s)
[qresnet_seed0] epoch 1/5 batch 976/2188 loss=0.4506 (899 img/s)
[qresnet_seed0] epoch 1/5 batch 1001/2188 loss=0.4488 (901 img/s)
[qresnet_seed0] epoch 1/5 batch 1026/2188 loss=0.4470 (902 img/s)
[qresnet_seed0] epoch 1/5 batch 1051/2188 loss=0.4453 (903 img/s)
[qresnet_seed0] epoch 1/5 batch 1076/2188 loss=0.4436 (903 img/s)
[qresnet_seed0] epoch 1/5 batch 1101/2188 loss=0.4419 (904 img/s)
[qresnet_seed0] epoch 1/5 batch 1126/2188 loss=0.4403 (905 img/s)
[qresnet_seed0] epoch 1/5 batch 1151/2188 loss=0.4387 (906 img/s)
[qresnet_seed0] epoch 1/5 batch 1176/2188 loss=0.4371 (907 img/s)
[qresnet_seed0] epoch 1/5 batch 1201/2188 loss=0.4356 (908 img/s)
[qresnet_seed0] epoch 1/5 batch 1226/2188 loss=0.4341 (908 img/s)
[qresnet_seed0] epoch 1/5 batch 1251/2188 loss=0.4326 (909 img/s)
[qresnet_seed0] epoch 1/5 batch 1276/2188 loss=0.4311 (910 img/s)
[qresnet_seed0] epoch 1/5 batch 1301/2188 loss=0.4296 (910 img/s)
[qresnet_seed0] epoch 1/5 batch 1326/2188 loss=0.4282 (911 img/s)
[qresnet_seed0] epoch 1/5 batch 1351/2188 loss=0.4268 (912 img/s)
[qresnet_seed0] epoch 1/5 batch 1376/2188 loss=0.4254 (912 img/s)
[qresnet_seed0] epoch 1/5 batch 1401/2188 loss=0.4240 (913 img/s)
[qresnet_seed0] epoch 1/5 batch 1426/2188 loss=0.4227 (913 img/s)
[qresnet_seed0] epoch 1/5 batch 1451/2188 loss=0.4213 (914 img/s)
[qresnet_seed0] epoch 1/5 batch 1476/2188 loss=0.4199 (914 img/s)
[qresnet_seed0] epoch 1/5 batch 1501/2188 loss=0.4185 (914 img/s)
[qresnet_seed0] epoch 1/5 batch 1526/2188 loss=0.4172 (914 img/s)
[qresnet_seed0] epoch 1/5 batch 1551/2188 loss=0.4159 (915 img/s)
[qresnet_seed0] epoch 1/5 batch 1576/2188 loss=0.4145 (914 img/s)
[qresnet_seed0] epoch 1/5 batch 1601/2188 loss=0.4132 (915 img/s)
[qresnet_seed0] epoch 1/5 batch 1626/2188 loss=0.4119 (915 img/s)
[qresnet_seed0] epoch 1/5 batch 1651/2188 loss=0.4107 (916 img/s)
[qresnet_seed0] epoch 1/5 batch 1676/2188 loss=0.4094 (916 img/s)
[qresnet_seed0] epoch 1/5 batch 1701/2188 loss=0.4081 (916 img/s)
[qresnet_seed0] epoch 1/5 batch 1726/2188 loss=0.4069 (916 img/s)
[qresnet_seed0] epoch 1/5 batch 1751/2188 loss=0.4056 (917 img/s)
[qresnet_seed0] epoch 1/5 batch 1776/2188 loss=0.4044 (917 img/s)
[qresnet_seed0] epoch 1/5 batch 1801/2188 loss=0.4032 (917 img/s)
[qresnet_seed0] epoch 1/5 batch 1826/2188 loss=0.4020 (916 img/s)
[qresnet_seed0] epoch 1/5 batch 1851/2188 loss=0.4008 (917 img/s)
[qresnet_seed0] epoch 1/5 batch 1876/2188 loss=0.3996 (917 img/s)
[qresnet_seed0] epoch 1/5 batch 1901/2188 loss=0.3985 (918 img/s)
[qresnet_seed0] epoch 1/5 batch 1926/2188 loss=0.3973 (918 img/s)
[qresnet_seed0] epoch 1/5 batch 1951/2188 loss=0.3961 (918 img/s)
[qresnet_seed0] epoch 1/5 batch 1976/2188 loss=0.3950 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2001/2188 loss=0.3939 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2026/2188 loss=0.3928 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2051/2188 loss=0.3916 (918 img/s)
[qresnet_seed0] epoch 1/5 batch 2076/2188 loss=0.3905 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2101/2188 loss=0.3895 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2126/2188 loss=0.3884 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2151/2188 loss=0.3873 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2176/2188 loss=0.3862 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2188/2188 loss=0.3857 (918 img/s)
[qresnet_seed0] epoch 1/5 loss=0.3857 val_acc=100.00 val_auc=1.0000
[qresnet_seed0] epoch 2/5 batch 1/2188 loss=0.2887 (133 img/s)
[qresnet_seed0] epoch 2/5 batch 26/2188 loss=0.2896 (756 img/s)
[qresnet_seed0] epoch 2/5 batch 51/2188 loss=0.2888 (825 img/s)
[qresnet_seed0] epoch 2/5 batch 76/2188 loss=0.2881 (859 img/s)
[qresnet_seed0] epoch 2/5 batch 101/2188 loss=0.2874 (873 img/s)
