model,noise_aware,threat,AURC,sigma_star
bottleneck_fc,False,noise,81.08054166666666,0.14
bottleneck_fc,False,occlusion,98.49616666666667,100.0
classic_fc,False,noise,76.32754166666668,0.12
classic_fc,False,occlusion,98.69024999999999,100.0
classic_fc,True,noise,99.98262499999998,0.2
classic_fc,True,occlusion,99.36325,100.0
mlp_head,False,noise,79.6985,0.14
mlp_head,False,occlusion,97.59733333333334,100.0
mlp_head,True,noise,99.22574999999999,0.2
mlp_head,True,occlusion,98.463,100.0
qresnet_q4l2strong,False,noise,73.09316666666666,0.1
qresnet_q4l2strong,False,occlusion,95.86391666666668,100.0
