model,noise_aware,threat,level,acc_mean,acc_std,n
bottleneck_fc,False,noise,0.0,99.9925,0.0,2
bottleneck_fc,False,noise,0.2,52.488749999999996,0.013749999999998153,2
bottleneck_fc,False,noise,0.3,50.16,0.029999999999997584,2
bottleneck_fc,False,noise,0.4,49.1125,0.1650000000000027,2
bottleneck_fc,False,noise,0.5,49.18,0.08500000000000085,2
bottleneck_fc,False,noise,0.6,48.113749999999996,0.18875000000000242,2
bottleneck_fc,False,occlusion,0,99.9925,0.0,2
bottleneck_fc,False,occlusion,40,98.84375,0.04375000000000284,2
bottleneck_fc,False,occlusion,80,95.785,0.08250000000000313,2
bottleneck_fc,False,occlusion,100,92.485,0.04749999999999943,2
classic_fc,False,noise,0.0,99.9925,0.0,2
classic_fc,False,noise,0.2,50.11125,0.02874999999999872,2
classic_fc,False,noise,0.3,49.96125000000001,0.003750000000000142,2
classic_fc,False,noise,0.4,50.18000000000001,0.027499999999999858,2
classic_fc,False,noise,0.5,50.00125,0.0012499999999988631,2
classic_fc,False,noise,0.6,50.0,0.0,2
classic_fc,False,occlusion,0,99.9925,0.0,2
classic_fc,False,occlusion,40,99.60374999999999,0.026249999999997442,2
classic_fc,False,occlusion,80,97.32249999999999,0.0025000000000048317,2
classic_fc,False,occlusion,100,95.58375000000001,0.04374999999999574,2
mlp_head,False,noise,0.0,99.9925,0.0,2
mlp_head,False,noise,0.2,51.411249999999995,0.08374999999999844,2
mlp_head,False,noise,0.3,50.0,0.0,2
mlp_head,False,noise,0.4,50.0,0.0,2
mlp_head,False,noise,0.5,50.0,0.0,2
mlp_head,False,noise,0.6,50.0,0.0,2
mlp_head,False,occlusion,0,99.9925,0.0,2
mlp_head,False,occlusion,40,97.95375,0.026250000000004547,2
mlp_head,False,occlusion,80,95.42750000000001,0.03999999999999915,2
mlp_head,False,occlusion,100,93.15125,0.02125000000000199,2
qresnet,False,noise,0.0,99.9975,0.0,2
qresnet,False,noise,0.2,50.20625,0.036249999999999005,2
qresnet,False,noise,0.3,51.886250000000004,0.13625000000000043,2
qresnet,False,noise,0.4,50.2225,0.004999999999999005,2
qresnet,False,noise,0.5,50.46125,0.011249999999996874,2
qresnet,False,noise,0.6,50.7375,0.15750000000000242,2
qresnet,False,occlusion,0,99.9975,0.0,2
qresnet,False,occlusion,40,97.35125,0.04124999999999801,2
qresnet,False,occlusion,80,95.16125,0.1212499999999963,2
qresnet,False,occlusion,100,94.02125000000001,0.008749999999999147,2
