label,model,group,train_seed,noise_aware,threat,level,pert_seed,acc
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.0,0,99.995
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.0,1,99.995
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.0,2,99.995
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.06,0,96.3775
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.06,1,96.5675
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.06,2,96.27
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.08,0,80.61
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.08,1,80.7125
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.08,2,80.48
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.1,0,68.635
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.1,1,68.6175
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.1,2,68.47
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.12,0,59.87
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.12,1,60.125
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.12,2,59.775
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.14,0,53.5575
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.14,1,53.785
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.14,2,53.5475
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.16,0,50.89
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.16,1,50.8875
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.16,2,50.8575
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.2,0,50.0175
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.2,1,50.04
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,noise,0.2,2,50.02
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,occlusion,0,0,99.995
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,occlusion,0,1,99.995
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,occlusion,0,2,99.995
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,occlusion,40,0,97.8525
qresnet_q4l2strong_seed0,qresnet,qresnet_q4l2strong,0,False,occlusion,40,1,97.7975
