model,noise_aware,threat,level,acc_mean,acc_std,n
qresnet_q4l2strong,False,noise,0.0,99.995,0.0,3
qresnet_q4l2strong,False,noise,0.06,96.40499999999999,0.12300067750490878,3
qresnet_q4l2strong,False,noise,0.08,80.60083333333334,0.0951387875100844,3
qresnet_q4l2strong,False,noise,0.1,68.57416666666667,0.07400262758098103,3
qresnet_q4l2strong,False,noise,0.12,59.92333333333334,0.14777986631774004,3
qresnet_q4l2strong,False,noise,0.14,53.629999999999995,0.10967755771654686,3
qresnet_q4l2strong,False,noise,0.16,50.87833333333333,0.01476670428889106,3
qresnet_q4l2strong,False,noise,0.2,50.02583333333334,0.010069204977994944,3
qresnet_q4l2strong,False,occlusion,0,99.995,0.0,3
qresnet_q4l2strong,False,occlusion,40,97.81583333333333,0.025927248643509957,3
qresnet_q4l2strong,False,occlusion,80,95.40249999999999,0.06188026071912399,3
qresnet_q4l2strong,False,occlusion,100,93.79916666666666,0.037712361663288424,3
qresnet_q4l3strong,False,noise,0.0,99.995,0.0,3
qresnet_q4l3strong,False,noise,0.06,78.52166666666666,0.18321587146192897,3
qresnet_q4l3strong,False,noise,0.08,53.55416666666667,0.006561673228342622,3
qresnet_q4l3strong,False,noise,0.1,50.75416666666666,0.11132410141364545,3
qresnet_q4l3strong,False,noise,0.12,50.79666666666666,0.021826334756182363,3
qresnet_q4l3strong,False,noise,0.14,50.156666666666666,0.017360555546667985,3
qresnet_q4l3strong,False,noise,0.16,50.01083333333333,0.0023570226039563644,3
qresnet_q4l3strong,False,noise,0.2,49.9975,0.002041241452320359,3
qresnet_q4l3strong,False,occlusion,0,99.995,0.0,3
qresnet_q4l3strong,False,occlusion,40,97.63166666666666,0.07684761255599071,3
qresnet_q4l3strong,False,occlusion,80,95.11416666666666,0.07717224601860374,3
qresnet_q4l3strong,False,occlusion,100,93.27583333333332,0.06328945848682466,3
qresnet_q6l2strong,False,noise,0.0,99.995,0.0,3
qresnet_q6l2strong,False,noise,0.06,99.96833333333332,0.005137011669136142,3
qresnet_q6l2strong,False,noise,0.08,99.79,0.00204124145232326,3
qresnet_q6l2strong,False,noise,0.1,99.26333333333332,0.0302994316044979,3
qresnet_q6l2strong,False,noise,0.12,97.70833333333333,0.027411473672329996,3
qresnet_q6l2strong,False,noise,0.14,95.85166666666665,0.10316518577289234,3
qresnet_q6l2strong,False,noise,0.16,92.1925,0.1086469818571401,3
qresnet_q6l2strong,False,noise,0.2,71.39083333333333,0.0660281926318023,3
qresnet_q6l2strong,False,occlusion,0,99.995,0.0,3
qresnet_q6l2strong,False,occlusion,40,96.87583333333333,0.06328945848682553,3
qresnet_q6l2strong,False,occlusion,80,94.19916666666666,0.017360555546668103,3
qresnet_q6l2strong,False,occlusion,100,91.8925,0.023184046238738095,3
qresnet_q6l3strong,False,noise,0.0,99.99,0.0,3
qresnet_q6l3strong,False,noise,0.06,95.58749999999999,0.04363675820528431,3
qresnet_q6l3strong,False,noise,0.08,83.00916666666666,0.09507307131301246,3
qresnet_q6l3strong,False,noise,0.1,76.31166666666667,0.169427139371337,3
qresnet_q6l3strong,False,noise,0.12,71.02499999999999,0.16831270500668738,3
qresnet_q6l3strong,False,noise,0.14,62.77583333333333,0.2365140352894294,3
qresnet_q6l3strong,False,noise,0.16,56.53916666666667,0.19904284854160195,3
qresnet_q6l3strong,False,noise,0.2,51.91166666666666,0.2303650484677624,3
qresnet_q6l3strong,False,occlusion,0,99.99,0.0,3
qresnet_q6l3strong,False,occlusion,40,99.16083333333331,0.017118865486813278,3
qresnet_q6l3strong,False,occlusion,80,97.57416666666666,0.04360491817317468,3
qresnet_q6l3strong,False,occlusion,100,94.805,0.06748456613675761,3
qresnet_q8l2strong,False,noise,0.0,99.995,0.0,3
qresnet_q8l2strong,False,noise,0.06,67.42833333333333,0.09401536517447277,3
qresnet_q8l2strong,False,noise,0.08,52.08833333333334,0.07098513146348857,3
qresnet_q8l2strong,False,noise,0.1,50.11166666666667,0.01476670428889106,3
qresnet_q8l2strong,False,noise,0.12,50.01,0.0054006172486715945,3
qresnet_q8l2strong,False,noise,0.14,50.0,0.0,3
qresnet_q8l2strong,False,noise,0.16,50.0,0.0,3
qresnet_q8l2strong,False,noise,0.2,50.0,0.0,3
qresnet_q8l2strong,False,occlusion,0,99.995,0.0,3
qresnet_q8l2strong,False,occlusion,40,98.65416666666668,0.02469255398337896,3
qresnet_q8l2strong,False,occlusion,80,96.73666666666666,0.062494444197512336,3
qresnet_q8l2strong,False,occlusion,100,94.78833333333334,0.0788546482812223,3
qresnet_q8l3strong,False,noise,0.0,99.99,0.0,3
qresnet_q8l3strong,False,noise,0.06,99.91083333333331,0.0023570226039530146,3
qresnet_q8l3strong,False,noise,0.08,99.34916666666668,0.01328114787542387,3
qresnet_q8l3strong,False,noise,0.1,98.04750000000001,0.08141969458715806,3
qresnet_q8l3strong,False,noise,0.12,95.7675,0.04476792006187872,3
qresnet_q8l3strong,False,noise,0.14,92.16833333333334,0.027411473672332445,3
qresnet_q8l3strong,False,noise,0.16,87.60583333333334,0.09531380918955028,3
qresnet_q8l3strong,False,noise,0.2,81.46333333333332,0.13407605635940167,3
qresnet_q8l3strong,False,occlusion,0,99.99,0.0,3
qresnet_q8l3strong,False,occlusion,40,98.81166666666667,0.03393212178583556,3
qresnet_q8l3strong,False,occlusion,80,94.915,0.07560864148142425,3
qresnet_q8l3strong,False,occlusion,100,92.80583333333334,0.0570939771098717,3
