C_x,C_y,Label,Q_x,Q_y,Label
-7.4906683,-14.814294,1,3.529277,43.34467,1
-69.74389,22.722065,1,20.131315,10.072408,1
9.203078,37.00289,0,-43.16832,-2.4358728,0
-4.268091,-24.091667,1,6.730391,24.735441,1
-37.406734,-5.8187127,1,-13.700659,58.970493,1
67.36693,-11.895713,0,32.723854,-36.498234,0
-28.782873,34.685726,1,-7.1459618,29.927433,1
-33.67024,-18.14902,1,10.271169,12.695538,1
-43.60799,-30.128798,1,-7.8649845,28.183975,1
41.79193,-6.466453,0,-19.079033,-21.247856,0
45.795097,11.067941,0,-56.366768,-4.3578234,0
49.459747,17.935621,0,-54.097424,-9.833184,0
-6.843023,-35.766506,1,-12.415945,14.137535,1
-59.41417,-12.925388,1,-1.1742829,62.45761,1
-31.940567,15.283318,1,-13.244615,48.20258,1
32.927135,53.182503,0,30.696655,-41.815903,0
-5.1860223,-23.191734,1,8.449671,10.863784,1
45.65133,10.726993,0,34.591545,-41.32112,0
-0.21956836,0.8130888,1,38.24082,17.328033,1
-42.849247,-18.208714,1,20.995533,52.037315,1
27.443542,43.97281,0,-44.07153,-19.82136,0
11.004034,27.153578,0,-18.821234,-39.660564,0
66.83825,-3.4276025,0,-31.537779,-20.243544,0
58.283176,11.826609,0,-37.7806,-47.568054,0
26.932848,-34.464886,0,30.307934,-37.771595,0
5.427134,45.007717,0,33.638042,-48.66123,0
75.49778,-20.49332,0,18.11534,-43.002228,0
14.823289,18.748915,0,-25.881119,-46.69563,0
-44.137047,-19.945833,1,-27.256954,31.348545,1
-2.7213635,2.6979287,1,-25.835901,18.51838,1
8.475227,48.168304,0,23.352009,-51.300797,0
-16.96581,-24.608534,1,-27.11124,31.433977,1
9.68796,33.16241,0,-44.256023,-2.8054814,0
65.9684,4.0479875,0,-51.40561,-33.971203,0
11.208412,-70.96111,0,57.119076,-30.26441,0
7.0032783,30.37308,0,16.199219,-40.087593,0
81.36619,-20.08154,0,54.391422,-15.863696,0
3.7251773,-56.982258,1,33.234497,19.467396,1
-70.08405,23.51391,1,6.7749534,51.615776,1
-68.03205,13.801356,1,3.4753573,46.98038,1
-68.16337,-14.3190365,1,33.135277,18.970493,1
67.19012,-9.365525,0,30.42723,-23.880629,0
-55.926617,-20.100225,1,-17.49475,58.96102,1
-12.126928,-26.578537,1,30.112892,46.76604,1
12.901183,50.95213,0,-43.695984,-5.8814507,0
-64.88117,10.684308,1,11.726608,60.04796,1
13.389972,24.235521,0,-36.913956,-16.911177,0
-73.72432,25.298552,1,18.012665,21.562696,1
12.365092,40.968014,0,-27.156162,-32.858437,0
-25.292288,36.741394,1,13.318046,47.482903,1
-31.4998,16.63055,1,-11.840774,16.446653,1
-43.75656,-30.189615,1,23.205683,30.94996,1
-56.94642,-30.245575,1,-10.661099,25.281502,1
32.443943,45.676937,0,-45.978603,-14.322457,0
-8.223724,-15.311308,1,2.7390115,-6.1533346,1
40.973095,-24.93552,0,-30.089075,-37.92093,0
-41.071007,-11.068027,1,21.410908,15.686866,1
-5.2759356,-44.856747,1,-7.807721,10.858128,1
41.025494,-11.663415,0,-49.110744,-5.9925632,0
-45.18627,-29.469936,1,-3.2825038,22.915342,1
-70.77978,-3.4194973,1,-13.74512,50.220264,1
6.5819917,41.000805,0,39.79655,-31.649393,0
-65.82533,-0.949032,1,-30.021732,19.73819,1
10.434972,-11.59259,0,15.2805805,-33.11438,0
37.654976,10.607567,0,28.308273,-54.690266,0
75.099915,-20.365559,0,-42.375313,-5.399796,0
-33.657936,-22.012634,1,21.844992,14.925596,1
10.709478,-20.379513,0,34.52842,-31.652096,0
-2.8831568,-2.4154656,1,-20.29577,21.261898,1
-50.10839,-25.350727,1,-12.280631,3.840595,1
0.8054213,-57.64983,1,3.7090325,8.454229,1
-27.519356,15.072875,1,30.068644,29.838123,1
9.1738825,31.05758,0,-19.44315,-33.334667,0
-33.91868,12.0445175,1,11.037415,-9.442408,1
-32.298065,15.680527,1,-17.91515,60.315773,1
-70.017715,9.46919,1,33.71114,13.815286,1
35.4239,49.29015,0,15.604041,-40.88705,0
34.391926,-8.825084,0,54.717613,-21.575573,0
-36.690525,29.611803,1,1.4837604,14.80939,1
-26.302774,37.329765,1,-27.92672,22.524637,1
-1.275158,-0.9366948,1,-15.3152895,48.31986,1
-6.281282,-35.88864,1,41.4296,21.21217,1
25.795586,-31.82594,0,29.064066,-30.128147,0
39.304165,-8.008912,0,42.764824,-12.958094,0
55.784256,13.538556,0,-26.936893,-11.483508,0
12.810349,-71.89435,0,-28.672518,-30.65976,0
